channel_id,subscribers,avg_views_sub,avg_30days_view,week_upload
UC--Vjom9AbabcCMzRLRo0vQ,23500,3.336609929078014,42323,0.144231
UC-0229MiVYnQoUxdLJnFl_g,111000,0.9442719386052719,5647.5,0.40113
UC-0JYXUFvDy2wlrBXazqz0w,19900,0.5264562814070352,10126.6,0.804651
UC-0tICWyA0_AJAVMBHL8GdQ,187000,1.197712931453573,205046,1.46774
UC-1OBOWjQTHpkWhvgPAo1Fg,6530,1.0335558958652373,1799.6,0.830137
UC-1zeD9vIwpgcgs4j5k1XcA,24700,6.496740890688259,164695,0.555556
UC-25-BORrYk1G-YEiZIYV1Q,5630,0.8646181172291297,2647.56,0.719626
UC-2MOePjeo8Fl3Blg11QipA,6940,2.7141990874159463,16335.5,1.38578
UC-2V9mbaY5Nsjk5rmy2bu0w,4340,0.2956365207373272,1233.15,0.859206
UC-2qfXK88iD2Xzv6xVs0yrg,5950,1.9739159663865544,3375.5,0.205036
UC-2uQeZQoX6OJwZ5mswZReA,136000,0.612844827586207,97486.6,0.631799
UC-3GPiUGCTQkVuxAYR9qpwQ,13300,2.0484304511278197,28059,0.473684
UC-3HnTzwoVx9CCv5V50s6TA,108000,0.5252328042328042,53261.9,1.3055
UC-3QuJk4Gwknhgh4QxXxa6w,4110,0.3675552734581614,907.667,0.912621
UC-3TyG5xI9ObJXYJ_D8uPxA,5150,0.39079611650485435,1084.2,0.731884
UC-49ZARtW_WZwDPBfB55hfQ,7110,4.028753867791842,10747,0.132463
UC-4MJX7pcM-fS0A3njaZXVQ,34200,0.5415509788965166,7878.75,0.763359
UC-4cn_Iv6NbpEF0Ntbq3cMw,10800,0.2519958847736626,1221.25,0.906475
UC-4fckpKaxwDS2I4jJYldMQ,5440,1.5412963554987213,4471.33,0.528634
UC-4sKOKvfX-r5SWpsZYy4DA,28600,0.4789102564102564,13188,1.75817
UC-4uN6inSAcA_5nHwh1l1hg,4610,1.236059291395517,4369.3,0.3125
UC-57hO6ro4Htu4CXCWJ6lJg,15500,0.9838709677419355,273,0.0444444
UC-59Obbmwwuecgrp-SqLodQ,8250,0.7047515151515151,1049.5,0.612546
UC-5GyZzyh85tKFM0PtbRqGQ,45600,1.0868947368421054,36330.2,0.350427
UC-5J5RzQABzWWvBiDPskwyA,7850,3.3085497305242524,4659,0.159091
UC-5OzA3Eyrl8RZsNvNpPLVQ,9590,0.4363955509210984,4173.93,2.87826
UC-5acDjU6XFWu-__G17V_YQ,394000,0.8300617295141407,324983,3.00552
UC-5yBHcJkiztCwyhPQ13Gqg,5980,0.32002075885134357,1059.57,0.183794
UC-603KNB_fvzHP9MpBqSKWg,183000,1.9968885245901637,597123,0.547284
UC-6DLwseTZG-l4JprVV2MIQ,48700,0.3846536618754278,3794.78,0.721649
UC-7E5TSQd24BTAD9rRx6g-w,8220,1.2654033314617257,9536.17,1.52857
UC-7H7ZImLfGF97Y_EJ0vZzA,90500,0.2585765588003157,32979,0.681481
UC-8LuaKYhWaqXqh9AYz9FSA,9080,2.5205735343951203,13986,0.0926966
UC-8S20Ll1gzPiu_YY8BgyaQ,136000,0.6859389978213508,119317,3.06897
